单词,词向量,近似top20
us,"[ 0.0096387  -0.00087898  0.21565631 -0.1551969  -0.16706182  0.10282412
  0.3745456   0.17917767  0.08694949  0.06266799  0.23768401  0.13046606
 -0.20741104 -0.390205    0.3574867   0.02305296  0.1812886   0.06563386
  0.33245647  0.07743341  0.01408193 -0.1538063   0.09599621  0.02848099
 -0.21149412  0.07717242  0.00909347  0.3792064  -0.07422352  0.20482129
 -0.2138183  -0.02507104  0.29818597 -0.15262473 -0.15627515  0.18058169
  0.17221062 -0.26287737 -0.05803292  0.1358282  -0.02871463 -0.347201
 -0.0180175   0.18392274 -0.17218602 -0.28060472  0.16656171  0.01994434
 -0.09801402  0.0468397 ]","['efforts', 'failed', 'election', 'role', 'nearly', 'operation', 'needs', '12', 'never', 'opinions', 'well', 'developing', 'among', 'common', 'today', 'global', 'cadres', 'united', 'network', 'left']"
economic,"[ 0.32177842 -0.10916533  0.17906281  0.40643325 -0.26950926 -0.3318475
 -0.01847546  0.12390064 -0.3343624   0.01702747  0.06193541 -0.20707358
  0.03328227 -0.01826913 -0.09969914  0.37440568  0.10615598  0.27207062
 -0.00567726 -0.3616155   0.12008593 -0.15427513 -0.31347746  0.2518321
  0.19348885  0.21298118 -0.10237541  0.31430227 -0.06243592  0.03097392
  0.15337248  0.146128    0.14695926 -0.21430336 -0.05524101 -0.06972909
 -0.0829566   0.37385917  0.07972813  0.23386356  0.03260113 -0.25471872
 -0.2116587   0.4378226  -0.04205297 -0.22502923  0.08221759 -0.04624882
  0.26904684 -0.01929343]","['regions', 'shuibian', 'failed', 'opinions', 'could', '3', 'chen', 'crossstrait', 'contacts', 'operation', 'longterm', 'position', 'qichen', 'combat', 'agricultural', 'cultural', 'since', 'held', 'modernization', 'along']"
relations,"[ 0.22962135  0.10960513  0.18031257 -0.07989956 -0.11141839 -0.13920978
  0.03057268 -0.03154459  0.1964268  -0.12840922 -0.0327164   0.0701271
  0.20518067 -0.13145006 -0.05171067  0.13671061 -0.13323177 -0.06400064
 -0.09072682  0.18056114  0.00691387 -0.03092605  0.23412827 -0.27381426
  0.11803922 -0.09172435 -0.13908827  0.06663885  0.07584783 -0.29198515
  0.11441513  0.2703329   0.16053905  0.16891429  0.07438768 -0.18674967
 -0.24035127  0.08148049 -0.08903097  0.1645342   0.30480105  0.14438109
 -0.19392337 -0.16867329 -0.00147231  0.01149509  0.06090521 -0.09758179
  0.09198125 -0.306627  ]","['failed', 'basis', 'korean', 'shuibian', 'province', '3', 'joint', 'global', 'resolutely', 'zemin', 'certainly', 'economy', 'management', 'political', 'see', 'began', 'industrial', 'press', 'workers', 'developing']"
united,"[ 0.1405847   0.13639314 -0.09531081 -0.15435097 -0.35901457 -0.22437684
  0.18144721 -0.4655748   0.3077773  -0.08283862  0.35849646 -0.14441153
 -0.42670614 -0.09779333 -0.12563692 -0.18612783 -0.45494056 -0.1203592
  0.10126096 -0.5606053   0.10315446 -0.16869648 -0.09578574 -0.09247547
 -0.21511276 -0.23970298 -0.173912   -0.2022684   0.12473967  0.15731777
 -0.12147386  0.23988809 -0.03811685  0.10545015 -0.22511774  0.04398716
  0.48081976 -0.26338902 -0.07946206 -0.14044906  0.23340642 -0.07172637
 -0.11149916  0.03097646  0.2701692  -0.42171827 -0.240862   -0.04250584
 -0.0695526  -0.29774654]","['cold', 'forum', 'inspection', 'met', 'workers', 'today', 'correct', 'importance', 'failed', 'hopes', 'complete', 'positive', 'facts', 'common', 'job', 'develop', 'unity', 'purpose', 'responsible', 'making']"
states,"[-0.29922464  0.24137117 -0.04720225  0.03645075 -0.1318481  -0.08808987
 -0.04271927 -0.1616434  -0.06436221 -0.09863835  0.10999287 -0.14757462
  0.07365088 -0.15052238  0.0113035  -0.0243763   0.18355842 -0.17866664
  0.10490208  0.06075861  0.07416862  0.00268182  0.07134599  0.02206405
 -0.22291459 -0.04112518  0.12712461 -0.05754239  0.09055493 -0.0204734
 -0.25295243  0.12233365 -0.06249431  0.16553535  0.0313648  -0.04424399
 -0.08917036  0.01416158 -0.08952598  0.15270549 -0.12748684 -0.10981282
  0.00421104  0.14120173  0.07790902  0.21510503  0.08568373  0.13825598
  0.02873857  0.01455943]","['failed', 'political', 'rights', 'understanding', 'department', 'among', 'stressed', 'willing', 'sides', '50', 'bush', 'carried', 'financial', 'matter', 'dialogue', 'efforts', 'safeguarding', 'says', 'establish', 'chinese']"
party,"[ 0.04561723  0.05110689  0.05254812 -0.41195852  0.0328836  -0.13563097
 -0.15816525  0.00103891  0.02459626  0.06026771 -0.36424726  0.16697161
 -0.06481578  0.14401644  0.4872452   0.12596257 -0.17692176 -0.09566683
  0.00543841  0.15664843 -0.13126522 -0.08380159 -0.03971084 -0.16304953
 -0.05282592  0.3449941   0.26600477  0.4421359  -0.04064305  0.12213042
 -0.18005231  0.03280598  0.07454979 -0.2821501   0.26552227 -0.09242798
 -0.00736348  0.26522052 -0.38572812 -0.2535014  -0.24344999  0.21793222
  0.21207409 -0.10897525  0.00535816 -0.24110447 -0.02085782 -0.32491887
 -0.28145534 -0.26860195]","['highlevel', 'zemin', 'economy', 'asian', 'talks', 'failed', 'prc', 'military', 'ninth', 'resolutely', 'regarding', 'members', 'level', 'south', 'come', 'develop', 'spirit', 'building', 'command', 'premier']"
government,"[-0.1964288   0.23904371  0.02620155 -0.06011685  0.15330958  0.23043334
  0.04056967 -0.15845683 -0.00447784 -0.0116936   0.01480926  0.1902636
 -0.04683656 -0.22321954 -0.12506276  0.08849179 -0.04957364 -0.23451293
 -0.12044208  0.10691751  0.11899929  0.15509373  0.08259442 -0.16217132
 -0.54639477 -0.37184247  0.10717054  0.23807107 -0.3508221   0.18918909
  0.01524929  0.09993536 -0.06044123  0.16320817  0.05925713  0.09845424
  0.03071511  0.08645009 -0.25076714 -0.02713892 -0.46568516  0.03652599
  0.25456417 -0.2646992  -0.0630125  -0.16054875  0.21944927  0.19453627
  0.23670194 -0.30443192]","['cadres', '50', 'united', 'political', 'rights', 'failed', 'seek', 'bush', 'ninth', 'department', 'develop', 'pakistan', 'back', 'regarding', 'media', 'strive', 'could', 'safeguarding', 'cpc', 'resolutely']"
one,"[-0.06640103  0.16164711 -0.17540194 -0.1972935   0.28551602 -0.33038715
  0.22738275  0.09714607 -0.00520926  0.11158621  0.21305552  0.11807804
  0.14882347  0.03806404  0.12411467  0.42901254  0.23344474  0.00854729
  0.4040056   0.00812667  0.13793753  0.30042264 -0.0236572  -0.11054138
 -0.56314605 -0.26491725  0.17833509 -0.3543185  -0.00752474 -0.0663161
  0.3139615   0.02950893  0.3990334   0.13011563 -0.26059523  0.24620421
 -0.16669951 -0.17825076 -0.2214053  -0.12739566  0.03512068  0.23412491
  0.16979022 -0.21332008  0.3317719   0.10695951 -0.2928266  -0.14471366
  0.49552765 -0.00245708]","['cities', 'agreed', 'stressed', 'entered', 'past', 'paid', 'political', 'importance', 'korea', 'zemin', 'view', 'promote', 'failed', 'could', 'responsibility', 'resolutely', 'status', 'cooperation', 'construction', 'rules']"
must,"[-0.29141137 -0.3103669  -0.1821289  -0.23854253  0.12568463 -0.3866648
 -0.03206188 -0.08830363 -0.00493614 -0.2942214  -0.11325268 -0.24220745
  0.19370626  0.20867479 -0.06973035 -0.10551211 -0.24239972  0.19043125
 -0.08337405  0.05896501 -0.07271259  0.169193   -0.04413454 -0.13480549
  0.13743888 -0.00324189 -0.00692237  0.05566543 -0.3554224  -0.3336527
  0.15373452 -0.19475703 -0.27322614  0.17619912 -0.14421844 -0.62753344
 -0.10861418 -0.14852864  0.03497324  0.09795611 -0.6823464  -0.0473817
 -0.18359576 -0.04889516 -0.11362755  0.06325405  0.08617453  0.12557143
 -0.04227685  0.12345776]","['department', 'governments', 'financial', 'back', 'failed', 'results', 'ethnic', 'see', 'plane', 'nuclear', 'guarantee', 'properly', 'would', 'decision', 'made', 'wei', 'shuibian', 'stability', 'show', 'chinese']"
military,"[-0.32233563 -0.31114122 -0.04560689  0.0890613  -0.06703072 -0.09564107
 -0.01200411 -0.1944006   0.19166104  0.01684755  0.14214547 -0.11587749
  0.07769161  0.15147534  0.20852803  0.20614922  0.16294585  0.08080989
  0.37850434 -0.43963253 -0.24779022 -0.22360677 -0.11801625 -0.08056014
  0.06011232 -0.13646863  0.1930745   0.09533084 -0.15373221  0.07863785
 -0.09924313 -0.05650664  0.27089378 -0.19246994  0.1299868   0.00806862
 -0.0480645  -0.54261684  0.07126132  0.10781989  0.13173592  0.00809881
 -0.11596252  0.08155511  0.2558141  -0.16715142  0.327491   -0.08861349
  0.1695037  -0.3493924 ]","['efforts', 'today', 'failed', 'peace', 'financial', 'resolutely', 'series', 'staff', 'incident', 'combat', 'building', 'clinton', 'modernization', 'set', 'united', 'properly', 'speed', 'products', 'brought', 'industrial']"
work,"[ 0.16175209 -0.17051229 -0.07030047 -0.17731851 -0.0926744  -0.2717319
 -0.37500784 -0.02960593  0.21468136  0.00580762 -0.14610828  0.10094053
 -0.10646416  0.06545769  0.12668507 -0.14763671  0.08520072  0.16372184
  0.23565844  0.03064064  0.01483093  0.13045834 -0.21167685  0.00422856
  0.03142108  0.13659613  0.01145625  0.09429128 -0.06694889 -0.2065524
 -0.01206626 -0.16838516  0.20080547 -0.0824788   0.10008487 -0.0152866
 -0.00773008  0.1150213   0.382328   -0.36340407 -0.21748409  0.07842562
 -0.07334068 -0.34575367  0.01926712 -0.04020494 -0.24356069  0.16594233
 -0.28888085 -0.10056842]","['failed', 'powell', 'committees', 'high', 'financial', 'soon', 'air', 'arms', 'management', 'israel', 'resolutely', 'later', 'talks', 'cpc', 'commercial', 'need', 'spirit', 'south', 'zemin', 'points']"
cooperation,"[-0.18514368  0.31465995  0.19546445  0.35197535  0.16159233 -0.19076894
  0.20578231 -0.06050421 -0.04353424  0.2717271   0.1740557  -0.13072398
  0.00320912  0.2743053   0.10033912  0.24495779  0.24992831 -0.10209906
 -0.22158693  0.22623788  0.00385195  0.11330175  0.2067628  -0.07913327
  0.08011211  0.34655884  0.00660751 -0.01127643 -0.07990286 -0.19780701
 -0.05668822  0.32475024  0.13097759  0.15968366  0.09224125 -0.15688673
 -0.01100742 -0.11255952 -0.14790745  0.184852    0.12728636  0.05322709
  0.04049737  0.03865528  0.14057346 -0.19228807  0.11155373  0.13759558
 -0.17886055 -0.05695667]","['even', 'failed', 'united', 'peace', 'chinese', 'used', 'although', 'financial', 'old', 'basis', 'wei', 'korean', 'industrial', 'member', 'side', 'situation', 'ways', 'economic', 'goal', 'territory']"
important,"[ 0.06246011  0.09494788 -0.00935672 -0.01781576 -0.4216523  -0.14669727
 -0.00530146  0.10259882 -0.1630361   0.20104489 -0.32465884  0.3504697
 -0.09701574 -0.01374087 -0.10534123  0.28576505 -0.08658907  0.25556815
  0.13797042  0.13843937 -0.15574463 -0.30726546 -0.2112223   0.1818174
 -0.2077923  -0.30217966  0.38304955 -0.07914072  0.20448855 -0.13105926
  0.04361549 -0.00901672  0.23412128  0.04204033 -0.20155948  0.21149981
  0.07230358  0.03878567 -0.13754067  0.15881285 -0.08274259 -0.1660285
  0.2931595  -0.09020786  0.21985725  0.2296531  -0.05153148 -0.15719846
  0.29794714 -0.15584712]","['failed', 'global', 'internet', 'overall', 'cultural', 'rich', 'indicated', 'human', 'large', 'personnel', 'wu', 'addition', 'white', 'zemin', 'religious', 'zhu', 'struggle', 'united', 'operation', 'arrived']"
national,"[-0.05269877 -0.16999917  0.11942113 -0.27135137 -0.48226517  0.3857386
 -0.1278891   0.07239391 -0.41018644 -0.18596664  0.14017312  0.15306225
  0.30071947 -0.07684255  0.11128861  0.12402012  0.32930207  0.04845537
  0.08772065 -0.27429694  0.0284138  -0.24630314  0.0224626  -0.20052555
  0.17283529 -0.17301948 -0.33751428  0.09599128 -0.19674155  0.24864484
  0.08639693 -0.02150004  0.2889503  -0.07607543 -0.14107603 -0.09437719
  0.47424886 -0.12320894 -0.12089418  0.29891106 -0.11909989  0.0871456
  0.25921187 -0.05034837 -0.26891458  0.1569937  -0.07358769  0.04444338
 -0.18665087  0.20361483]","['operation', 'failed', 'bush', 'others', 'generation', 'build', 'parties', 'present', 'first', '3', 'global', 'socialist', 'political', 'low', 'remain', 'best', '50', 'committees', 'department', 'scientific']"
world,"[-0.07381476  0.01362594  0.01701579  0.01866496  0.15486424  0.19777486
  0.16744676  0.25365487  0.22208637  0.09790698  0.06517871 -0.15344995
 -0.08268335  0.23445486  0.10976884 -0.02807664  0.04645187 -0.01946615
 -0.1660579   0.08173829  0.20939378 -0.08390237 -0.16612709 -0.36255527
  0.14206703  0.32736146 -0.04096883  0.23781906 -0.23587717  0.09264887
 -0.03979931 -0.07312667  0.19594215  0.1406592  -0.14874637  0.24114302
 -0.30199355 -0.00331458  0.06944624  0.23528709  0.17200834  0.02127316
  0.26372305 -0.06532048 -0.01247719  0.24274191  0.11944948 -0.27607656
  0.07505263 -0.01538752]","['zemin', 'progress', 'failed', 'production', 'global', 'resources', 'missile', 'percent', 'onechina', 'wei', 'reason', 'trust', 'industry', 'systems', 'young', 'could', 'understanding', 'says', 'current', 'china']"
state,"[ 0.25229472 -0.17651635 -0.4007576   0.00147764 -0.39876458  0.22908823
 -0.28672805 -0.04907757 -0.0760564   0.27171466  0.01712466  0.31540647
  0.05485027  0.4742055   0.08768782 -0.04162529 -0.02316942  0.1443937
  0.13490506  0.09766629  0.05889696  0.20358352  0.12490746  0.28722498
 -0.00249614 -0.24206263 -0.33060792  0.18300676 -0.11997762 -0.02981924
 -0.29600048 -0.1255486  -0.19466437 -0.10925207 -0.3644321   0.14791377
 -0.17018606 -0.05453459  0.09558766  0.0838089   0.00139395 -0.20115022
  0.21973214  0.16134429  0.33257493  0.09604896  0.1672524   0.10260404
  0.04852692  0.08993957]","['failed', 'entry', 'relationship', 'religious', 'point', 'defense', 'historical', 'join', 'promote', 'enhance', 'know', 'competition', 'pointed', 'entered', 'component', 'tasks', 'sides', 'using', 'beginning', 'motherland']"
country,"[-4.07237709e-01  3.37634802e-01 -2.71712691e-02 -3.85717005e-02
 -1.96859717e-01 -4.81440187e-01  4.88356113e-01  2.78777685e-02
  1.94134042e-01 -1.18261993e-01 -1.42683191e-02 -5.57304872e-03
  2.38122076e-01 -1.63785547e-01 -7.08402321e-02  2.52934396e-01
  6.19884990e-02  1.31374851e-01 -2.02158436e-01  1.16629384e-01
 -2.80578077e-01 -9.30674672e-02  1.64368391e-01 -2.06083164e-01
  3.18495423e-01  1.15360919e-04 -1.19408369e-01  4.42260057e-02
  1.20572723e-01  5.60220657e-03 -1.95657983e-01 -9.16245207e-02
  2.37488560e-02 -1.49662286e-01 -4.09004658e-01  2.61249930e-01
  2.20106155e-01  2.59564847e-01 -1.10219434e-01 -4.99993749e-02
 -7.56902397e-02 -7.81694949e-02  2.62509048e-01 -2.05285490e-01
 -3.51447649e-02  1.00238837e-01  3.39839906e-01  1.42057747e-01
 -2.13428766e-01  6.04299717e-02]","['political', 'addition', 'overall', 'year', '12', 'failed', 'province', 'situation', 'election', 'global', 'united', 'young', 'something', 'environment', 'developing', 'understanding', 'left', 'resources', 'parties', 'financial']"
year,"[ 0.2558063   0.23098561  0.01692948  0.10286372 -0.17004564  0.26829803
 -0.3900403  -0.03070402 -0.01858522 -0.22240584  0.08600006 -0.27909994
  0.5010596   0.11487655  0.02644275  0.16656916  0.03047803 -0.0953894
  0.13270994 -0.05424326 -0.2399935  -0.0193143   0.07967514 -0.02492794
 -0.01927723  0.2433157  -0.10829327 -0.09543251  0.19329412  0.19970721
  0.29483935  0.25846535  0.08525697  0.14083111 -0.22952226  0.11695831
 -0.04195139 -0.10113669 -0.16566023 -0.24065703 -0.11591072  0.0182342
  0.14492461  0.13940293 -0.1799726   0.24954508 -0.05756365 -0.07068061
 -0.299795   -0.18683352]","['zemin', 'understanding', 'failed', 'effectively', 'addition', 'real', 'level', 'management', 'deputies', 'sides', 'reunification', 'among', 'bush', 'global', 'visit', 'united', 'department', '3', 'two', 'reason']"
years,"[-0.18648899  0.1594523  -0.09973819 -0.21571872  0.14456046  0.0830945
  0.18964183 -0.13851981 -0.15776221  0.09736151 -0.04987617 -0.31875187
  0.1445298  -0.2239584  -0.01646535 -0.01425643 -0.21789534  0.16467813
 -0.18328695 -0.15492634  0.07797627 -0.13477156  0.10660542 -0.18388453
 -0.08397152 -0.09187976 -0.22813946  0.00919718  0.04691742  0.19528413
  0.16778088  0.09357127  0.17147529 -0.02762064  0.03581236  0.12604615
  0.21964271  0.22210856 -0.154151   -0.21984695  0.00734859 -0.1404917
 -0.06772956  0.05307592  0.00907307  0.20587729  0.1510993   0.2078885
 -0.31396094 -0.09321325]","['political', 'failed', 'department', 'develop', 'safeguarding', 'workers', 'situation', 'adopted', 'development', 'high', 'first', 'resolutely', 'implementation', 'principle', 'bush', 'united', 'stressed', 'economy', 'structure', 'understanding']"
international,"[ 0.20862198 -0.21012212  0.06601091 -0.22855558 -0.11937506  0.12288825
  0.29274574  0.2793452  -0.19729735  0.1383709   0.01540149 -0.28212792
  0.0853327   0.2569397  -0.04651603  0.00583341  0.08946914 -0.42188883
 -0.42876437 -0.11426084 -0.11644375 -0.22506839  0.22729762  0.14370719
  0.13222791  0.28270623  0.05664606  0.23651604 -0.18008547  0.12517476
 -0.26377738  0.03533158  0.230028   -0.20522702  0.17158234 -0.06685971
  0.06400068 -0.0352459   0.01985972  0.24956179 -0.03195581 -0.02457055
  0.3629733   0.6070782   0.06272752  0.02916587  0.36532998 -0.13218072
  0.11805935 -0.25889826]","['although', 'operation', 'failed', 'national', 'europe', 'implementing', 'percent', 'land', 'constitution', 'mainly', 'sides', 'young', 'technology', 'differences', 'shows', 'always', 'toward', 'meanwhile', 'accept', 'reunification']"
jiang,"[ 0.01588404  0.10299588  0.36655006 -0.31142455  0.27017978  0.4038862
  0.14731418  0.46032247 -0.09492623  0.11326081 -0.14507009  0.18435082
 -0.21219046  0.26972762 -0.14967161 -0.21656232 -0.15970033  0.08561678
  0.4675414   0.03547916 -0.16948494 -0.22200713 -0.03361705 -0.17057608
 -0.44571447 -0.44231644  0.21543895  0.24475048  0.20047617  0.23084821
  0.3557517   0.21764688 -0.20186874 -0.00538205 -0.44774258 -0.26149166
  0.06568424  0.10310525 -0.13912912 -0.04462498  0.28998944  0.45065656
  0.09021545  0.0825249   0.34177527 -0.34089977  0.35020828  0.5008658
  0.27539447 -0.17616068]","['based', 'came', 'implementing', 'media', 'back', 'regard', 'political', 'prc', 'failed', 'called', 'well', 'agreed', 'attention', 'resolutely', 'responsible', 'competition', '4', 'ability', 'make', 'historical']"
